DEPTH,SP,GR,CALI,BitSize,LL8,ILM,ILD,RHOB,NPHI,DT,MudWgt,NPHI_pct,Phixnd_chartbook,RhoMatrix,DEPT,vshgr,vshnd,vshsp,vsh,PHISw,PHISwshc,PHISrhg,PHISrhgshc,PHID,PHIDshc,PHIN,PHINshc,PHIxND,PHIT,CBW,PHIE,Swb,Qv,Mstarapp,Sw_archie,BVW,Sw_dw,CBVWE,Sw_ws,WSCBVWE,matrix
4359.0,-18.625,89.82799999999999,10.501,10,0.633,0.7070000000000001,0.7190000000000001,2.271,0.40169,50,10,40.169000000000004,0.350540704,2.9030383239999997,4359.0,0.5977066666666665,0.5067163187855784,0.6613636363636364,0.5067163187855784,-0.04150943396226415,0.0,-0.06875,0.0,0.24451612903225808,0.24451612903225808,0.40169,0.2395407779886149,0.2420284535104365,0.323103064516129,0.12161191650853882,0.20149114800759022,0.37638738181162634,1.3824242574139818,2.7527747636232527,0.6322008930705343,0.20426604594092324,0.6119312461838713,0.07610494440664377,0.6084975901095014,0.07499551960652047,0.676896935483871
4359.5,-18.5625,88.1168,10.6403,10,0.634,0.6993,0.7073,2.2665,0.376768,50,10,37.6768,0.33879759299999995,2.864210155,4359.5,0.5748906666666667,0.42470664136622427,0.6625,0.42470664136622427,-0.04150943396226415,0.0,-0.06875,0.0,0.24741935483870953,0.24741935483870953,0.376768,0.2408618747628082,0.24414061480075888,0.3120936774193548,0.10192959392789382,0.21016408349146098,0.3265993555868574,1.1995590007451726,2.6531987111737148,0.6598934653739349,0.205948578313553,0.6127905171791381,0.0893184520662517,0.6429729832345075,0.09873820889105676,0.6879063225806452
4360.0,-18.875,85.616,10.682,10,0.629,0.696,0.6990000000000001,2.269,0.38361,50,10,38.361,0.34108616399999997,2.8741318139999996,4360.0,0.5415466666666666,0.44966888045540826,0.6568181818181819,0.44966888045540826,-0.04150943396226415,0.0,-0.06875,0.0,0.24580645161290313,0.24580645161290313,0.38361,0.23971595825426936,0.24276120493358624,0.3147082258064516,0.10792053130929798,0.20678769449715362,0.3429224991903137,1.259511886429219,2.6858449983806274,0.6582849783649138,0.2071676976162604,0.6193167189743736,0.08698353453139988,0.642968180179273,0.09442684392492394,0.6852917741935484
4360.5,-19.8755,86.0807,10.5353,10,0.6355,0.6925,0.6913,2.2752,0.396348,50,10,39.6348,0.34264440799999996,2.8877690780000003,4360.5,0.5477426666666666,0.49913358633776067,0.6386272727272727,0.49913358633776067,-0.04150943396226415,0.0,-0.06875,0.0,0.24180645161290326,0.24180645161290326,0.396348,0.23662525237191656,0.2392158519924099,0.3190772258064516,0.11979206072106256,0.19928516508538902,0.3754328138534305,1.3789182474770694,2.750865627706861,0.652877258892156,0.20831826455942962,0.6300324403688969,0.08123694251991372,0.6410759472098155,0.08476067404588859,0.6809227741935484
4361.0,-20.813000000000002,85.979,10.512,10,0.643,0.69,0.688,2.266,0.42478999999999995,50,10,42.479,0.349383655,2.892146799,4361.0,0.5463866666666667,0.5649800759013281,0.6215818181818181,0.5649800759013281,-0.04150943396226415,0.0,-0.06875,0.0,0.24774193548387094,0.24774193548387094,0.42478999999999995,0.24399637571157493,0.24586915559772293,0.33626596774193546,0.13559521821631876,0.2006707495256167,0.4032380056978594,1.4810432748963613,2.806476011395719,0.6209884062855694,0.20881726739613918,0.6161394560388196,0.0715915122325646,0.586974518739374,0.06178433636743366,0.6637340322580646
4361.5,-22.25,82.5565,10.5272,10,0.685,0.6863,0.6848,2.231,0.41223699999999996,50,10,41.2237,0.359167351,2.864891352,4361.5,0.5007533333333334,0.4603175521821628,0.5954545454545455,0.4603175521821628,-0.04150943396226415,0.0,-0.06875,0.0,0.27032258064516135,0.27032258064516135,0.41223699999999996,0.26493538330170785,0.2676289819734346,0.34127979032258066,0.11047621252371907,0.23080357779886157,0.3237115576615187,1.1889524764688197,2.647423115323037,0.6132932435638624,0.20930458956973033,0.5746177975544581,0.08562922894128948,0.5565532390708976,0.07946416020974996,0.6587202096774194
4362.0,-24.125,76.944,10.543,10,0.695,0.6829999999999999,0.684,2.211,0.40817,50,10,40.817,0.367233194,2.855781102,4362.0,0.42592,0.4096461100569258,0.5613636363636364,0.4096461100569258,-0.04150943396226415,0.0,-0.06875,0.0,0.283225806451613,0.283225806451613,0.40817,0.2770832447817837,0.28015452561669835,0.3456979032258065,0.0983150664136622,0.24738283681214432,0.28439590028246065,1.0445509341126833,2.568791800564921,0.6058091535749122,0.20942695414584775,0.5515179559604766,0.09234353455325725,0.5404919751225021,0.08853187609656157,0.6543020967741935
4362.5,-23.1358,75.4712,10.6695,10,0.7153,0.68,0.6838,2.2208,0.382162,50,10,38.2162,0.355205795,2.838229021,4362.5,0.4062826666666666,0.3521197343453513,0.5793490909090909,0.3521197343453513,-0.04150943396226415,0.0,-0.06875,0.0,0.2769032258064515,0.2769032258064515,0.382162,0.2694836850094876,0.2731934554079696,0.3295326129032258,0.08450873624288431,0.24502387666034148,0.25645029637082406,0.9419101905532611,2.512900592741648,0.6356201803286055,0.2094575788377049,0.563330533353803,0.10112704634136217,0.5858004012701732,0.10853160062743399,0.6704673870967741
4363.0,-24.75,78.39699999999999,10.742,10,0.6970000000000001,0.68,0.6829999999999999,2.24,0.38787,50,10,38.787,0.355012521,2.8674761710000003,4363.0,0.4452933333333332,0.4060692599620499,0.55,0.4060692599620499,-0.04150943396226415,0.0,-0.06875,0.0,0.2645161290322579,0.2645161290322579,0.38787,0.25792783681214404,0.261221982922201,0.32619306451612895,0.09745662239089198,0.22873644212523697,0.29876975629588576,1.0973443277963206,2.5975395125917715,0.642503581129106,0.20958021209109037,0.5875003488164361,0.09418191679383603,0.6019630696382852,0.0988995560199562,0.6738069354838712
4363.5,-19.563,83.5797,10.5705,10,0.6418,0.684,0.6832,2.2545,0.37206,50,10,37.205999999999996,0.32885246,2.820188082,4363.5,0.5143960000000001,0.3876337760910819,0.6443090909090908,0.3876337760910819,-0.04150943396226415,0.0,-0.06875,0.0,0.2551612903225805,0.2551612903225805,0.37206,0.24801719165085379,0.25158924098671714,0.3136106451612902,0.09303210626185965,0.22057853889943058,0.29664843237069694,1.0895529676346205,2.5932968647413936,0.6681837393542419,0.2095495335851672,0.6073515008219871,0.09743978975060161,0.6450355151987339,0.10925789781156053,0.6863893548387098
