DEPTH	SP	GR	CALI	BitSize	LL8	ILM	ILD	RHOB	NPHI	DT	MudWgt	NPHI_pct	 Phixnd_chartbook 	 RhoMatrix 
4909	-48.688	48.799	10.028	10	0.216	0.204	0.194	2.072	0.40168	40	10	40.168	0.403332031	2.729046724
4909.5	-48.0005	46.727	10.024	10	0.1867	0.2027	0.1938	2.0685	0.386613	40	10	38.6613	0.397282872	2.706889792
4910	-48.938	46.727	9.974	10	0.17	0.201	0.193	2.071	0.39098	40	10	39.098	0.397579753	2.711831616
4910.5	-48.4897	48.413	9.9503	10	0.19	0.2	0.1928	2.0648	0.411635	40	10	41.1635	0.401162015	2.711120244
4911	-47.813	49.058	9.942	10	0.225	0.2	0.192	2.064	0.39871	40	10	39.871	0.404860375	2.719787962
4911.5	-47.9172	52.043	9.9662	10	0.2607	0.2	0.192	2.0562	0.387523	40	10	38.7523	0.406129325	2.710114861
4912	-47.188	49.448	9.952	10	0.259	0.2	0.192	2.057	0.36959	40	10	36.959	0.387435399	2.662284204
4912.5	-47.9692	51.8598	9.949	10	0.2335	0.2012	0.1922	2.0698	0.387762	40	10	38.7762	0.397312896	2.709126847
4913	-48.125	47.049	9.949	10	0.251	0.202	0.193	2.074	0.40637	40	10	40.637	0.403049587	2.73162631
4913.5	-49.1255	48.4715	9.9532	10	0.2732	0.202	0.192	2.0723	0.398955	40	10	39.8955	0.403253655	2.729335493
4914	-50.063	44.554	9.984	10	0.284	0.202	0.192	2.069	0.38508	40	10	38.508	0.396989546	2.706937314
4914.5	-49.9688	45.1447	9.9748	10	0.2348	0.2007	0.1908	2.0755	0.352868	40	10	35.2868	0.373224672	2.656379066
4915	-50.438	44.388	10.004	10	0.184	0.199	0.19	2.083	0.34846	40	10	34.846	0.370589027	2.661777664
4915.5	-50.698	44.7797	9.9923	10	0.1503	0.1955	0.1878	2.0838	0.362648	40	10	36.2648	0.379022528	2.684276474
4916	-49.813	43.348	9.999	10	0.152	0.193	0.187	2.078	0.38279	40	10	38.279	0.390794854	2.705370549
4916.5	-50.1983	39.5842	10.0352	10	0.158	0.1905	0.1847	2.0738	0.375138	40	10	37.5138	0.395282123	2.710337707
4917	-48.375	38.935	10.046	10	0.158	0.188	0.183	2.068	0.37173	40	10	37.173	0.386792081	2.678583658
4917.5	-49.2605	43.1832	10.053	10	0.156	0.1868	0.1818	2.0605	0.372262	40	10	37.2262	0.387828843	2.669005643
